,time,open,high,low,close,tick_volume,spread,real_volume
333,1675256040,1.08911,1.08919,1.08908,1.08911,36,8,0
334,1675256100,1.08911,1.08911,1.08893,1.08895,35,7,0
335,1675256160,1.08895,1.08895,1.0888,1.08886,42,4,0
336,1675256220,1.08886,1.08901,1.08885,1.089,34,8,0
337,1675256280,1.089,1.08901,1.0889199999999999,1.0889199999999999,20,8,0
338,1675256340,1.0889199999999999,1.0892,1.0889199999999999,1.08916,64,8,0
339,1675256400,1.08917,1.08917,1.0889199999999999,1.0889199999999999,81,0,0
340,1675256460,1.08891,1.0890900000000001,1.0888,1.0890900000000001,37,2,0
341,1675256520,1.08908,1.0893,1.08906,1.08926,59,5,0
342,1675256580,1.08925,1.08928,1.08921,1.08926,30,6,0
343,1675256640,1.08926,1.08926,1.0890900000000001,1.08913,42,3,0
344,1675256700,1.08913,1.08915,1.08905,1.08915,47,7,0
345,1675256760,1.08915,1.08924,1.08911,1.08911,38,6,0
346,1675256820,1.08911,1.08911,1.08896,1.08903,44,6,0
347,1675256880,1.08903,1.08904,1.08894,1.08897,36,7,0
348,1675256940,1.08899,1.08904,1.0888,1.0888,49,0,0
349,1675257000,1.08881,1.0891,1.08881,1.08903,57,6,0
350,1675257060,1.08903,1.08903,1.08891,1.08896,48,7,0
351,1675257120,1.08896,1.08924,1.0889199999999999,1.08914,44,3,0
352,1675257180,1.08914,1.08914,1.08899,1.08901,38,5,0
353,1675257240,1.08902,1.08911,1.08894,1.08902,35,6,0
354,1675257300,1.08901,1.08932,1.089,1.08931,48,8,0
355,1675257360,1.08931,1.08931,1.08925,1.08927,20,8,0
356,1675257420,1.08927,1.08933,1.08926,1.08932,17,7,0
357,1675257480,1.08932,1.08942,1.08931,1.08931,33,5,0
358,1675257540,1.0893,1.0894,1.08918,1.08936,46,6,0
359,1675257600,1.08936,1.08944,1.08931,1.08943,29,5,0
360,1675257660,1.08943,1.08957,1.08935,1.08952,53,6,0
361,1675257720,1.08952,1.08952,1.08942,1.08942,52,6,0
362,1675257780,1.08942,1.0895,1.08932,1.08949,42,6,0
363,1675257840,1.08949,1.08954,1.0893,1.0895,56,7,0
364,1675257900,1.0895,1.08962,1.08941,1.08959,45,4,0
365,1675257960,1.08959,1.08963,1.08954,1.08958,39,9,0
366,1675258020,1.08957,1.08957,1.08939,1.0894,43,5,0
367,1675258080,1.0894,1.08951,1.08932,1.08936,60,8,0
368,1675258140,1.08936,1.08937,1.08923,1.08929,43,7,0
369,1675258200,1.08929,1.08944,1.08929,1.08944,42,8,0
370,1675258260,1.08944,1.08948,1.08941,1.08944,29,6,0
371,1675258320,1.08944,1.08951,1.08943,1.08946,32,8,0
372,1675258380,1.08945,1.08949,1.08929,1.0894,45,8,0
373,1675258440,1.08939,1.0894,1.08929,1.08929,25,7,0
374,1675258500,1.08929,1.08935,1.0890900000000001,1.0890900000000001,29,8,0
375,1675258560,1.0890900000000001,1.08926,1.08895,1.08924,75,7,0
376,1675258620,1.08924,1.08926,1.08911,1.08915,40,7,0
377,1675258680,1.08914,1.08925,1.08913,1.08924,17,4,0
378,1675258740,1.08924,1.08944,1.08924,1.08936,36,7,0
379,1675258800,1.08937,1.08948,1.08933,1.08947,36,6,0
380,1675258860,1.08947,1.08955,1.08941,1.08947,56,7,0
381,1675258920,1.08947,1.08959,1.08947,1.08956,46,6,0
382,1675258980,1.08956,1.08963,1.08955,1.0896,49,8,0
383,1675259040,1.0896,1.08962,1.08934,1.08939,49,6,0
384,1675259100,1.08939,1.08944,1.08939,1.0894,20,7,0
385,1675259160,1.0894,1.08947,1.08934,1.0894,23,7,0
386,1675259220,1.0894,1.08945,1.08934,1.08934,20,5,0
387,1675259280,1.08934,1.08946,1.08928,1.08944,31,7,0
388,1675259340,1.08944,1.08944,1.08923,1.08923,37,6,0
389,1675259400,1.08923,1.08924,1.08919,1.08923,34,7,0
390,1675259460,1.08923,1.08923,1.08918,1.08923,12,8,0
391,1675259520,1.08922,1.08939,1.08922,1.08924,38,7,0
392,1675259580,1.08924,1.08925,1.08918,1.08918,34,8,0
393,1675259640,1.08918,1.08923,1.08903,1.08904,46,6,0
394,1675259700,1.08903,1.08928,1.08903,1.08913,62,7,0
395,1675259760,1.08913,1.08918,1.08912,1.08912,25,8,0
396,1675259820,1.08912,1.08923,1.08912,1.08917,46,8,0
397,1675259880,1.08917,1.08931,1.08917,1.08929,26,8,0
398,1675259940,1.08929,1.08934,1.08919,1.08919,28,8,0
399,1675260000,1.08919,1.08931,1.08917,1.08926,49,8,0
400,1675260060,1.08926,1.08929,1.08914,1.0892,34,7,0
401,1675260120,1.0892,1.0892,1.08896,1.08896,54,4,0
402,1675260180,1.08896,1.08923,1.0889199999999999,1.0892,49,6,0
403,1675260240,1.0892,1.08926,1.08913,1.08925,47,7,0
404,1675260300,1.08924,1.08938,1.08923,1.08933,37,7,0
405,1675260360,1.08934,1.08938,1.0893,1.08937,27,9,0
406,1675260420,1.08937,1.08938,1.08926,1.08926,31,9,0
407,1675260480,1.08926,1.08934,1.08925,1.08932,22,9,0
408,1675260540,1.08932,1.08939,1.0893,1.08931,25,8,0
409,1675260600,1.08933,1.08936,1.08928,1.08933,33,8,0
410,1675260660,1.08933,1.08934,1.08925,1.08925,32,8,0
411,1675260720,1.08925,1.08939,1.0892,1.08929,42,6,0
412,1675260780,1.08929,1.08929,1.08916,1.08918,53,7,0
413,1675260840,1.08918,1.08924,1.08916,1.0892,36,7,0
414,1675260900,1.0892,1.08937,1.0892,1.08931,46,8,0
415,1675260960,1.08931,1.08934,1.08926,1.08932,45,8,0
416,1675261020,1.08932,1.08944,1.08931,1.08935,42,6,0
